Player,Ht,Wt,Pos,GP,MP,RY,LY,EXP,PTS,ORB,DRB,TRB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,TOV,PF,HOF
Sasha Vujacic,201,88,SG,648,10556,2005,2017,13,3750,235,1044,1279,880,390,39,684,1639,630,1713,492,575,394,1016,0
Bobby Portis,211,104,PF,126,2102,2016,2017,2,873,198,435,633,87,41,33,321,663,48,148,87,125,91,194,0
Samuel Dalembert,211,115,C,886,21646,2002,2015,14,6814,2289,4653,6942,465,437,1546,2809,5381,1,12,1193,1689,1271,2601,0
Bobby Jones,201,97,F,91,867,2007,2008,2,288,51,98,149,44,26,4,84,171,19,62,63,92,46,144,0
Salah Mejri,216,111,C,107,1302,2016,2017,2,338,138,293,431,24,40,97,136,211,1,4,63,107,63,206,0
Ryan Humphrey,203,106,SF,133,1216,2003,2005,3,290,120,168,288,29,29,37,113,344,0,3,64,115,71,188,0
Russell Westbrook,190,90,PG,668,22786,2009,2017,9,15156,1110,3039,4149,5293,1154,197,4533,9835,706,2258,3972,4829,2620,1616,0
Rudy Gay,203,104,SF,901,32033,2007,2017,11,16683,1329,4021,5350,2120,1215,725,5362,11277,941,2753,3136,3922,2238,2239,0
Ruben Boumtje-Boumtje,213,116,C,44,276,2002,2004,3,43,22,35,57,6,4,17,14,38,0,0,15,27,14,40,0
Bobby Brown,193,92,PG,251,3023,2009,2017,9,1214,46,140,186,424,73,8,325,763,156,491,96,118,223,279,0
Rodney White,203,95,SF,276,4031,2002,2005,4,1833,137,437,574,281,150,76,623,1394,115,350,242,331,322,373,0
Rodney Hood,203,93,SG,188,5198,2015,2017,3,2330,63,523,586,392,141,39,498,1086,337,926,323,395,235,453,0
Robert Sacre,213,122,C,189,2745,2013,2016,4,787,212,381,593,126,56,110,318,728,0,1,151,225,102,336,0
Rick Hughes,196,97,PF,21,224,2000,2000,1,82,24,25,49,9,3,1,35,71,0,1,12,26,14,30,0
reggie Williams,198,92,F,206,3736,2010,2017,8,1598,105,388,493,301,88,13,400,768,199,545,201,268,142,241,0
Raul Neto,185,81,PG,121,1845,2016,2017,2,576,21,129,150,208,83,7,147,316,74,193,60,79,124,170,0
Rafer Alston,188,77,PG,800,23260,2000,2010,11,8126,293,1954,2247,3784,971,125,1755,4343,1166,3314,1118,1527,1430,1646,0
Qyntel Woods,203,100,SF,167,2060,2003,2006,4,691,107,278,385,105,71,28,246,523,35,98,94,156,138,226,0
Quincy Miller,206,95,PF,79,1053,2013,2015,3,324,45,144,189,45,37,42,80,213,36,131,56,79,59,91,0
Primoz Brezec,218,114,C,413,6762,2002,2010,9,2583,605,828,1433,191,73,144,1064,2148,1,6,452,655,300,832,0
Pops Mensah-Bonsu,206,108,PF,103,912,2007,2011,5,331,154,174,328,20,27,28,116,288,0,4,99,162,69,145,0
Al Jefferson,208,131,C,879,25815,2005,2017,13,14091,2024,5523,7547,1317,612,1070,6042,12073,8,63,1983,2797,1190,2281,0
Patrick Patterson,206,104,PF,613,14742,2011,2017,7,5038,924,1986,2910,737,369,326,1543,3014,517,1400,401,541,489,1181,0
Patrick Christopher,196,94,SG,4,29,2015,2015,1,6,2,4,6,0,1,0,3,8,0,4,0,0,1,6,0
Pape Sy,201,102,SF,3,21,2011,2011,1,7,2,1,3,2,1,0,2,5,0,1,3,3,3,1,0
Orien Greene,193,94,SG,131,1555,2006,2011,6,326,49,146,195,155,98,15,116,276,11,52,61,95,144,228,0
Okaro White,203,92,PF,35,471,2017,2017,1,98,25,57,82,21,10,10,21,53,12,34,20,22,18,52,0
Nikoloz Tskitishvili,213,102,PF,224,2265,2003,2006,4,593,130,240,370,127,55,63,179,534,46,203,97,136,151,268,0
Nik Stauskas,198,92,SG,226,5124,2015,2017,3,1692,55,442,497,393,109,69,283,642,286,833,268,332,262,351,0
Nick Collison,208,115,PF,895,18528,2005,2017,13,5328,1759,2921,4680,935,446,469,2178,4026,21,101,909,1252,871,2500,0
